id_servicio,tipo,habitacion,edificio,seccion,bellboy,hora_solicitud,hora_asignacion,hora_entrega,hora_limite_salida,tiempo_total_servicio,tiempo_espera_asignacion,a_tiempo,hora_del_dia
SRV_17,Check-in,1407,Piñata,Norte,BB_27,2026-03-15 14:21:00,2026-03-15 14:32:00,2026-03-15 15:00:00,,39.0,11.0,False,14
SRV_18,Check-out,1402,Piñata,Norte,BB_19,2026-03-15 11:12:00,2026-03-15 11:18:00,2026-03-15 11:40:00,2026-03-15 12:12:00,28.0,6.0,True,11
SRV_19,Check-in,1581,Piñata,Norte,BB_10,2026-03-15 14:22:00,2026-03-15 14:35:00,2026-03-15 14:47:00,,25.0,13.0,True,14
SRV_20,Check-in,1174,Sombrero,Norte,BB_09,2026-03-15 14:52:00,2026-03-15 15:05:00,2026-03-15 15:22:00,,30.0,13.0,True,14
SRV_21,Check-out,1429,Piñata,Norte,BB_20,2026-03-15 11:45:00,2026-03-15 11:53:00,2026-03-15 12:15:00,2026-03-15 12:45:00,30.0,8.0,True,11
SRV_22,Check-in,3480,Mango,Sur,BB_08,2026-03-15 18:18:00,2026-03-15 18:38:00,2026-03-15 18:54:00,,36.0,20.0,False,18
SRV_23,Check-out,2208,Estrella,Norte,BB_01,2026-03-15 09:18:00,2026-03-15 09:36:00,2026-03-15 09:48:00,2026-03-15 10:18:00,30.0,18.0,True,9
SRV_24,Check-out,1044,Sombrero,Norte,BB_22,2026-03-15 11:04:00,2026-03-15 11:15:00,2026-03-15 11:34:00,2026-03-15 12:04:00,30.0,11.0,True,11
SRV_25,Check-in,1553,Piñata,Norte,BB_28,2026-03-15 15:56:00,2026-03-15 16:21:00,2026-03-15 16:37:00,,41.0,25.0,False,15
SRV_26,Check-in,3538,Mango,Sur,BB_18,2026-03-15 15:39:00,2026-03-15 16:00:00,2026-03-15 16:24:00,,45.0,21.0,False,15
SRV_27,Check-out,406,Villa 4,Golf,BB_11,2026-03-15 11:48:00,2026-03-15 12:05:00,2026-03-15 12:19:00,2026-03-15 12:48:00,31.0,17.0,True,11
SRV_28,Check-out,3949,Toronja,Sur,BB_26,2026-03-15 10:03:00,2026-03-15 10:18:00,2026-03-15 10:36:00,2026-03-15 11:03:00,33.0,15.0,True,10
SRV_29,Check-out,3652,Piña,Sur,BB_16,2026-03-15 11:02:00,2026-03-15 11:08:00,2026-03-15 11:19:00,2026-03-15 12:02:00,17.0,6.0,True,11
SRV_30,Check-out,1959,Luna,Norte,BB_19,2026-03-15 10:22:00,2026-03-15 10:33:00,2026-03-15 10:52:00,2026-03-15 11:22:00,30.0,11.0,True,10
SRV_31,Check-in,1871,Luna,Norte,BB_30,2026-03-15 14:20:00,2026-03-15 14:31:00,2026-03-15 15:00:00,,40.0,11.0,False,14
SRV_32,Check-in,1533,Piñata,Norte,BB_02,2026-03-15 15:51:00,2026-03-15 15:58:00,2026-03-15 16:15:00,,24.0,7.0,True,15
SRV_33,Check-out,1950,Luna,Norte,BB_28,2026-03-15 10:08:00,2026-03-15 10:31:00,2026-03-15 10:52:00,2026-03-15 11:08:00,44.0,23.0,True,10
SRV_34,Check-out,3781,Piña,Sur,BB_10,2026-03-15 11:19:00,2026-03-15 11:26:00,2026-03-15 11:55:00,2026-03-15 12:19:00,36.0,7.0,True,11
SRV_35,Check-in,4140,Toronja,Sur,BB_28,2026-03-15 14:44:00,2026-03-15 14:52:00,2026-03-15 15:02:00,,18.0,8.0,True,14
SRV_36,Check-out,1470,Piñata,Norte,BB_29,2026-03-15 10:35:00,2026-03-15 11:00:00,2026-03-15 11:29:00,2026-03-15 11:35:00,54.0,25.0,True,10
SRV_37,Check-out,1034,Sombrero,Norte,BB_19,2026-03-15 11:50:00,2026-03-15 12:03:00,2026-03-15 12:24:00,2026-03-15 12:50:00,34.0,13.0,True,11
SRV_38,Check-out,3764,Piña,Sur,BB_02,2026-03-15 10:37:00,2026-03-15 10:45:00,2026-03-15 11:14:00,2026-03-15 11:37:00,37.0,8.0,True,10
SRV_39,Check-in,4071,Toronja,Sur,BB_12,2026-03-15 17:39:00,2026-03-15 17:49:00,2026-03-15 18:04:00,,25.0,10.0,True,17
SRV_40,Check-out,3779,Piña,Sur,BB_24,2026-03-15 12:54:00,2026-03-15 13:06:00,2026-03-15 13:28:00,2026-03-15 13:54:00,34.0,12.0,True,12
SRV_41,Check-in,1782,Luna,Norte,BB_02,2026-03-15 17:20:00,2026-03-15 17:29:00,2026-03-15 17:45:00,,25.0,9.0,True,17
SRV_42,Check-in,1781,Luna,Norte,BB_26,2026-03-15 16:06:00,2026-03-15 16:30:00,2026-03-15 16:51:00,,45.0,24.0,False,16
SRV_43,Check-out,202,Villa 2,Golf,BB_12,2026-03-15 09:53:00,2026-03-15 10:18:00,2026-03-15 10:40:00,2026-03-15 10:53:00,47.0,25.0,True,9
SRV_44,Check-out,4151,Toronja,Sur,BB_33,2026-03-15 10:16:00,2026-03-15 10:33:00,2026-03-15 10:58:00,2026-03-15 11:16:00,42.0,17.0,True,10
SRV_45,Check-out,1171,Sombrero,Norte,BB_15,2026-03-15 09:20:00,2026-03-15 09:26:00,2026-03-15 09:37:00,2026-03-15 10:20:00,17.0,6.0,True,9
SRV_46,Check-in,3375,Mango,Sur,BB_04,2026-03-15 15:06:00,2026-03-15 15:24:00,2026-03-15 15:42:00,,36.0,18.0,False,15
SRV_47,Check-out,1052,Sombrero,Norte,BB_09,2026-03-15 08:40:00,2026-03-15 08:49:00,2026-03-15 09:04:00,2026-03-15 09:40:00,24.0,9.0,True,8
SRV_48,Check-in,3570,Mango,Sur,BB_28,2026-03-15 11:29:00,2026-03-15 11:50:00,2026-03-15 12:01:00,,32.0,21.0,False,11
SRV_49,Check-in,1666,Piñata,Norte,BB_05,2026-03-15 15:41:00,2026-03-15 16:04:00,2026-03-15 16:34:00,,53.0,23.0,False,15
SRV_50,Check-in,2107,Estrella,Norte,BB_20,2026-03-15 21:35:00,2026-03-15 21:50:00,2026-03-15 22:05:00,,30.0,15.0,True,21
SRV_51,Check-out,3423,Mango,Sur,BB_33,2026-03-15 11:45:00,2026-03-15 11:56:00,2026-03-15 12:20:00,2026-03-15 12:45:00,35.0,11.0,True,11
SRV_52,Check-in,3486,Mango,Sur,BB_10,2026-03-15 12:40:00,2026-03-15 13:01:00,2026-03-15 13:20:00,,40.0,21.0,False,12
SRV_53,Check-in,1671,Piñata,Norte,BB_20,2026-03-15 16:44:00,2026-03-15 17:04:00,2026-03-15 17:33:00,,49.0,20.0,False,16
SRV_54,Check-out,3861,Piña,Sur,BB_21,2026-03-15 11:53:00,2026-03-15 12:06:00,2026-03-15 12:34:00,2026-03-15 12:53:00,41.0,13.0,True,11
SRV_55,Check-in,3628,Piña,Sur,BB_26,2026-03-15 13:24:00,2026-03-15 13:36:00,2026-03-15 13:50:00,,26.0,12.0,True,13
SRV_56,Check-out,1901,Luna,Norte,BB_11,2026-03-15 09:27:00,2026-03-15 09:46:00,2026-03-15 10:12:00,2026-03-15 10:27:00,45.0,19.0,True,9
SRV_57,Check-out,3007,Chile,Sur,BB_06,2026-03-15 10:35:00,2026-03-15 10:55:00,2026-03-15 11:22:00,2026-03-15 11:35:00,47.0,20.0,True,10
SRV_58,Check-out,1929,Luna,Norte,BB_20,2026-03-15 10:34:00,2026-03-15 10:47:00,2026-03-15 11:03:00,2026-03-15 11:34:00,29.0,13.0,True,10
SRV_59,Check-out,1788,Luna,Norte,BB_25,2026-03-15 10:52:00,2026-03-15 11:10:00,2026-03-15 11:23:00,2026-03-15 11:52:00,31.0,18.0,True,10
SRV_60,Check-in,3652,Piña,Sur,BB_24,2026-03-15 17:16:00,2026-03-15 17:34:00,2026-03-15 17:51:00,,35.0,18.0,False,17
SRV_61,Check-in,3324,Mango,Sur,BB_33,2026-03-15 11:38:00,2026-03-15 11:47:00,2026-03-15 12:08:00,,30.0,9.0,True,11
SRV_62,Check-in,3338,Mango,Sur,BB_20,2026-03-15 14:30:00,2026-03-15 14:50:00,2026-03-15 15:14:00,,44.0,20.0,False,14
SRV_63,Check-out,4183,Toronja,Sur,BB_25,2026-03-15 12:34:00,2026-03-15 12:52:00,2026-03-15 13:05:00,2026-03-15 13:34:00,31.0,18.0,True,12
SRV_64,Check-in,4069,Toronja,Sur,BB_11,2026-03-15 14:58:00,2026-03-15 15:18:00,2026-03-15 15:45:00,,47.0,20.0,False,14
SRV_65,Check-out,1550,Piñata,Norte,BB_28,2026-03-15 12:42:00,2026-03-15 12:55:00,2026-03-15 13:25:00,2026-03-15 13:42:00,43.0,13.0,True,12
SRV_66,Check-in,3549,Mango,Sur,BB_22,2026-03-15 17:47:00,2026-03-15 18:07:00,2026-03-15 18:27:00,,40.0,20.0,False,17
SRV_67,Check-in,4122,Toronja,Sur,BB_04,2026-03-15 14:55:00,2026-03-15 15:07:00,2026-03-15 15:24:00,,29.0,12.0,True,14
SRV_68,Check-out,1632,Piñata,Norte,BB_33,2026-03-15 10:39:00,2026-03-15 10:45:00,2026-03-15 10:55:00,2026-03-15 11:39:00,16.0,6.0,True,10
SRV_69,Check-out,110,Villa 1,Golf,BB_06,2026-03-15 11:26:00,2026-03-15 11:43:00,2026-03-15 12:07:00,2026-03-15 12:26:00,41.0,17.0,True,11
SRV_70,Check-in,1243,Sombrero,Norte,BB_19,2026-03-15 15:51:00,2026-03-15 16:14:00,2026-03-15 16:27:00,,36.0,23.0,False,15
SRV_71,Check-in,4160,Toronja,Sur,BB_12,2026-03-15 13:05:00,2026-03-15 13:27:00,2026-03-15 13:44:00,,39.0,22.0,False,13
SRV_72,Check-in,1030,Sombrero,Norte,BB_16,2026-03-15 16:29:00,2026-03-15 16:43:00,2026-03-15 17:03:00,,34.0,14.0,False,16
SRV_73,Check-out,1738,Luna,Norte,BB_10,2026-03-15 12:27:00,2026-03-15 12:41:00,2026-03-15 12:54:00,2026-03-15 13:27:00,27.0,14.0,True,12
SRV_74,Check-out,1069,Sombrero,Norte,BB_11,2026-03-15 10:42:00,2026-03-15 10:53:00,2026-03-15 11:07:00,2026-03-15 11:42:00,25.0,11.0,True,10
SRV_75,Check-in,1788,Luna,Norte,BB_22,2026-03-15 14:11:00,2026-03-15 14:21:00,2026-03-15 14:42:00,,31.0,10.0,False,14
SRV_76,Check-out,3434,Mango,Sur,BB_15,2026-03-15 11:29:00,2026-03-15 11:38:00,2026-03-15 11:53:00,2026-03-15 12:29:00,24.0,9.0,True,11
SRV_77,Check-in,1869,Luna,Norte,BB_02,2026-03-15 15:05:00,2026-03-15 15:10:00,2026-03-15 15:35:00,,30.0,5.0,True,15
SRV_78,Check-out,1773,Luna,Norte,BB_01,2026-03-15 09:53:00,2026-03-15 10:04:00,2026-03-15 10:24:00,2026-03-15 10:53:00,31.0,11.0,True,9
SRV_79,Check-out,3630,Piña,Sur,BB_16,2026-03-15 11:52:00,2026-03-15 12:15:00,2026-03-15 12:39:00,2026-03-15 12:52:00,47.0,23.0,True,11
SRV_80,Check-out,1273,Sombrero,Norte,BB_32,2026-03-15 11:02:00,2026-03-15 11:08:00,2026-03-15 11:33:00,2026-03-15 12:02:00,31.0,6.0,True,11
SRV_81,Check-out,3652,Piña,Sur,BB_19,2026-03-15 11:50:00,2026-03-15 11:58:00,2026-03-15 12:25:00,2026-03-15 12:50:00,35.0,8.0,True,11
SRV_82,Check-in,3449,Mango,Sur,BB_09,2026-03-15 17:51:00,2026-03-15 18:09:00,2026-03-15 18:28:00,,37.0,18.0,False,17
SRV_83,Check-out,1183,Sombrero,Norte,BB_10,2026-03-15 09:10:00,2026-03-15 09:33:00,2026-03-15 09:55:00,2026-03-15 10:10:00,45.0,23.0,True,9
SRV_84,Check-in,1711,Luna,Norte,BB_21,2026-03-15 11:48:00,2026-03-15 11:57:00,2026-03-15 12:18:00,,30.0,9.0,True,11
SRV_85,Check-in,4015,Toronja,Sur,BB_16,2026-03-15 14:09:00,2026-03-15 14:28:00,2026-03-15 14:53:00,,44.0,19.0,False,14
SRV_86,Check-in,1585,Piñata,Norte,BB_09,2026-03-15 19:10:00,2026-03-15 19:25:00,2026-03-15 19:50:00,,40.0,15.0,False,19
SRV_87,Check-in,1855,Luna,Norte,BB_35,2026-03-15 14:29:00,2026-03-15 14:34:00,2026-03-15 15:00:00,,31.0,5.0,False,14
SRV_88,Check-out,3465,Mango,Sur,BB_18,2026-03-15 09:17:00,2026-03-15 09:41:00,2026-03-15 10:08:00,2026-03-15 10:17:00,51.0,24.0,True,9
SRV_89,Check-in,4031,Toronja,Sur,BB_01,2026-03-15 12:32:00,2026-03-15 12:37:00,2026-03-15 13:06:00,,34.0,5.0,False,12
SRV_90,Check-in,1589,Piñata,Norte,BB_11,2026-03-15 17:04:00,2026-03-15 17:25:00,2026-03-15 17:51:00,,47.0,21.0,False,17
SRV_91,Check-in,3685,Piña,Sur,BB_01,2026-03-15 15:33:00,2026-03-15 15:55:00,2026-03-15 16:09:00,,36.0,22.0,False,15
SRV_92,Check-in,510,Villa 5,Golf,BB_20,2026-03-15 15:29:00,2026-03-15 15:48:00,2026-03-15 16:06:00,,37.0,19.0,False,15
SRV_93,Check-in,1871,Luna,Norte,BB_28,2026-03-15 15:13:00,2026-03-15 15:22:00,2026-03-15 15:50:00,,37.0,9.0,False,15
SRV_94,Check-out,312,Villa 3,Golf,BB_13,2026-03-15 10:43:00,2026-03-15 11:04:00,2026-03-15 11:34:00,2026-03-15 11:43:00,51.0,21.0,True,10
SRV_95,Check-out,1562,Piñata,Norte,BB_19,2026-03-15 13:20:00,2026-03-15 13:42:00,2026-03-15 14:06:00,2026-03-15 14:20:00,46.0,22.0,True,13
SRV_96,Check-in,3885,Piña,Sur,BB_09,2026-03-15 18:35:00,2026-03-15 18:42:00,2026-03-15 18:56:00,,21.0,7.0,True,18
SRV_97,Check-in,1907,Luna,Norte,BB_04,2026-03-15 12:53:00,2026-03-15 13:07:00,2026-03-15 13:19:00,,26.0,14.0,True,12
SRV_98,Check-out,1058,Sombrero,Norte,BB_01,2026-03-15 10:18:00,2026-03-15 10:26:00,2026-03-15 10:55:00,2026-03-15 11:18:00,37.0,8.0,True,10
SRV_99,Check-out,1739,Luna,Norte,BB_21,2026-03-15 12:15:00,2026-03-15 12:28:00,2026-03-15 12:55:00,2026-03-15 13:15:00,40.0,13.0,True,12
SRV_100,Check-in,404,Villa 4,Golf,BB_30,2026-03-15 16:13:00,2026-03-15 16:27:00,2026-03-15 16:39:00,,26.0,14.0,True,16
SRV_101,Check-out,1604,Piñata,Norte,BB_22,2026-03-15 10:00:00,2026-03-15 10:16:00,2026-03-15 10:41:00,2026-03-15 11:00:00,41.0,16.0,True,10
SRV_102,Check-in,4166,Toronja,Sur,BB_32,2026-03-15 14:07:00,2026-03-15 14:18:00,2026-03-15 14:48:00,,41.0,11.0,False,14
SRV_103,Check-in,3978,Toronja,Sur,BB_27,2026-03-15 16:51:00,2026-03-15 17:12:00,2026-03-15 17:42:00,,51.0,21.0,False,16
SRV_104,Check-in,3474,Mango,Sur,BB_14,2026-03-15 15:39:00,2026-03-15 16:03:00,2026-03-15 16:17:00,,38.0,24.0,False,15
SRV_105,Check-in,3943,Toronja,Sur,BB_03,2026-03-15 18:04:00,2026-03-15 18:22:00,2026-03-15 18:38:00,,34.0,18.0,False,18
SRV_106,Check-out,1432,Piñata,Norte,BB_33,2026-03-15 11:14:00,2026-03-15 11:28:00,2026-03-15 11:45:00,2026-03-15 12:14:00,31.0,14.0,True,11
SRV_107,Check-in,3729,Piña,Sur,BB_10,2026-03-15 13:41:00,2026-03-15 14:00:00,2026-03-15 14:10:00,,29.0,19.0,True,13
SRV_108,Check-out,3477,Mango,Sur,BB_04,2026-03-15 09:25:00,2026-03-15 09:45:00,2026-03-15 10:08:00,2026-03-15 10:25:00,43.0,20.0,True,9
SRV_109,Check-out,3208,Chile,Sur,BB_11,2026-03-15 10:23:00,2026-03-15 10:47:00,2026-03-15 10:57:00,2026-03-15 11:23:00,34.0,24.0,True,10
SRV_110,Check-in,1732,Luna,Norte,BB_13,2026-03-15 11:04:00,2026-03-15 11:23:00,2026-03-15 11:40:00,,36.0,19.0,False,11
SRV_111,Check-out,3628,Piña,Sur,BB_15,2026-03-15 09:30:00,2026-03-15 09:48:00,2026-03-15 10:15:00,2026-03-15 10:30:00,45.0,18.0,True,9
SRV_112,Check-in,3914,Toronja,Sur,BB_08,2026-03-15 13:28:00,2026-03-15 13:33:00,2026-03-15 13:43:00,,15.0,5.0,True,13
SRV_113,Check-out,1031,Sombrero,Norte,BB_31,2026-03-15 10:15:00,2026-03-15 10:35:00,2026-03-15 10:58:00,2026-03-15 11:15:00,43.0,20.0,True,10
SRV_114,Check-in,3105,Chile,Sur,BB_29,2026-03-15 15:34:00,2026-03-15 15:42:00,2026-03-15 15:55:00,,21.0,8.0,True,15
SRV_115,Check-in,1850,Luna,Norte,BB_35,2026-03-15 19:39:00,2026-03-15 19:59:00,2026-03-15 20:22:00,,43.0,20.0,False,19
SRV_116,Check-in,3729,Piña,Sur,BB_30,2026-03-15 15:08:00,2026-03-15 15:27:00,2026-03-15 15:57:00,,49.0,19.0,False,15
SRV_117,Check-in,1439,Piñata,Norte,BB_11,2026-03-15 15:48:00,2026-03-15 16:12:00,2026-03-15 16:28:00,,40.0,24.0,False,15
SRV_118,Check-in,3540,Mango,Sur,BB_15,2026-03-15 14:28:00,2026-03-15 14:38:00,2026-03-15 15:05:00,,37.0,10.0,False,14
SRV_119,Check-out,4165,Toronja,Sur,BB_33,2026-03-15 12:36:00,2026-03-15 12:57:00,2026-03-15 13:19:00,2026-03-15 13:36:00,43.0,21.0,True,12
SRV_120,Check-in,3812,Piña,Sur,BB_35,2026-03-15 16:12:00,2026-03-15 16:37:00,2026-03-15 17:06:00,,54.0,25.0,False,16
SRV_121,Check-in,1835,Luna,Norte,BB_29,2026-03-15 13:45:00,2026-03-15 13:55:00,2026-03-15 14:14:00,,29.0,10.0,True,13
SRV_122,Check-in,3403,Mango,Sur,BB_03,2026-03-15 15:12:00,2026-03-15 15:25:00,2026-03-15 15:54:00,,42.0,13.0,False,15
SRV_123,Check-out,505,Villa 5,Golf,BB_30,2026-03-15 10:46:00,2026-03-15 11:00:00,2026-03-15 11:19:00,2026-03-15 11:46:00,33.0,14.0,True,10
SRV_124,Check-in,3585,Mango,Sur,BB_33,2026-03-15 16:57:00,2026-03-15 17:21:00,2026-03-15 17:34:00,,37.0,24.0,False,16
SRV_125,Check-out,1633,Piñata,Norte,BB_26,2026-03-15 10:06:00,2026-03-15 10:16:00,2026-03-15 10:26:00,2026-03-15 11:06:00,20.0,10.0,True,10
SRV_126,Check-out,3019,Chile,Sur,BB_11,2026-03-15 09:12:00,2026-03-15 09:35:00,2026-03-15 10:05:00,2026-03-15 10:12:00,53.0,23.0,True,9
SRV_127,Check-in,3553,Mango,Sur,BB_11,2026-03-15 14:33:00,2026-03-15 14:44:00,2026-03-15 15:13:00,,40.0,11.0,False,14
SRV_128,Check-in,3746,Piña,Sur,BB_23,2026-03-15 17:08:00,2026-03-15 17:21:00,2026-03-15 17:45:00,,37.0,13.0,False,17
SRV_129,Check-in,1745,Luna,Norte,BB_16,2026-03-15 11:27:00,2026-03-15 11:43:00,2026-03-15 12:10:00,,43.0,16.0,False,11
SRV_130,Check-out,3114,Chile,Sur,BB_06,2026-03-15 10:20:00,2026-03-15 10:44:00,2026-03-15 11:14:00,2026-03-15 11:20:00,54.0,24.0,True,10
SRV_131,Check-in,1981,Luna,Norte,BB_32,2026-03-15 15:31:00,2026-03-15 15:43:00,2026-03-15 16:07:00,,36.0,12.0,False,15
SRV_132,Check-out,3369,Mango,Sur,BB_26,2026-03-15 11:26:00,2026-03-15 11:36:00,2026-03-15 12:02:00,2026-03-15 12:26:00,36.0,10.0,True,11
SRV_133,Check-out,3821,Piña,Sur,BB_07,2026-03-15 10:14:00,2026-03-15 10:35:00,2026-03-15 10:49:00,2026-03-15 11:14:00,35.0,21.0,True,10
SRV_134,Check-out,3510,Mango,Sur,BB_11,2026-03-15 11:08:00,2026-03-15 11:17:00,2026-03-15 11:46:00,2026-03-15 12:08:00,38.0,9.0,True,11
SRV_135,Check-out,1057,Sombrero,Norte,BB_03,2026-03-15 09:30:00,2026-03-15 09:52:00,2026-03-15 10:21:00,2026-03-15 10:30:00,51.0,22.0,True,9
SRV_136,Check-out,1038,Sombrero,Norte,BB_05,2026-03-15 12:58:00,2026-03-15 13:09:00,2026-03-15 13:24:00,2026-03-15 13:58:00,26.0,11.0,True,12
SRV_137,Check-out,1154,Sombrero,Norte,BB_11,2026-03-15 09:41:00,2026-03-15 09:55:00,2026-03-15 10:25:00,2026-03-15 10:41:00,44.0,14.0,True,9
SRV_138,Check-in,3528,Mango,Sur,BB_07,2026-03-15 13:08:00,2026-03-15 13:28:00,2026-03-15 13:52:00,,44.0,20.0,False,13
SRV_139,Check-in,1410,Piñata,Norte,BB_29,2026-03-15 11:50:00,2026-03-15 12:07:00,2026-03-15 12:21:00,,31.0,17.0,False,11
SRV_140,Check-in,1212,Sombrero,Norte,BB_22,2026-03-15 12:49:00,2026-03-15 13:11:00,2026-03-15 13:32:00,,43.0,22.0,False,12
SRV_141,Check-out,3976,Toronja,Sur,BB_09,2026-03-15 08:10:00,2026-03-15 08:23:00,2026-03-15 08:50:00,2026-03-15 09:10:00,40.0,13.0,True,8
SRV_142,Check-in,3754,Piña,Sur,BB_11,2026-03-15 16:47:00,2026-03-15 17:12:00,2026-03-15 17:27:00,,40.0,25.0,False,16
SRV_143,Check-out,1147,Sombrero,Norte,BB_13,2026-03-15 10:36:00,2026-03-15 10:58:00,2026-03-15 11:27:00,2026-03-15 11:36:00,51.0,22.0,True,10
SRV_144,Check-out,4003,Toronja,Sur,BB_02,2026-03-15 10:44:00,2026-03-15 11:09:00,2026-03-15 11:22:00,2026-03-15 11:44:00,38.0,25.0,True,10
SRV_145,Check-out,1933,Luna,Norte,BB_05,2026-03-15 11:52:00,2026-03-15 12:09:00,2026-03-15 12:25:00,2026-03-15 12:52:00,33.0,17.0,True,11
SRV_146,Check-out,3567,Mango,Sur,BB_11,2026-03-15 08:49:00,2026-03-15 09:07:00,2026-03-15 09:28:00,2026-03-15 09:49:00,39.0,18.0,True,8
SRV_147,Check-out,3518,Mango,Sur,BB_27,2026-03-15 11:09:00,2026-03-15 11:32:00,2026-03-15 11:50:00,2026-03-15 12:09:00,41.0,23.0,True,11
SRV_148,Check-in,1607,Piñata,Norte,BB_21,2026-03-15 16:42:00,2026-03-15 16:53:00,2026-03-15 17:20:00,,38.0,11.0,False,16
SRV_149,Check-in,4110,Toronja,Sur,BB_25,2026-03-15 16:27:00,2026-03-15 16:51:00,2026-03-15 17:10:00,,43.0,24.0,False,16
SRV_150,Check-in,1854,Luna,Norte,BB_01,2026-03-15 09:15:00,2026-03-15 09:24:00,2026-03-15 09:53:00,,38.0,9.0,False,9
SRV_151,Check-in,3708,Piña,Sur,BB_11,2026-03-15 16:17:00,2026-03-15 16:42:00,2026-03-15 17:05:00,,48.0,25.0,False,16
SRV_152,Check-out,3522,Mango,Sur,BB_29,2026-03-15 11:53:00,2026-03-15 12:18:00,2026-03-15 12:48:00,2026-03-15 12:53:00,55.0,25.0,True,11
SRV_153,Check-in,1165,Sombrero,Norte,BB_35,2026-03-15 15:39:00,2026-03-15 15:54:00,2026-03-15 16:10:00,,31.0,15.0,False,15
SRV_154,Check-out,1470,Piñata,Norte,BB_23,2026-03-15 11:48:00,2026-03-15 11:54:00,2026-03-15 12:12:00,2026-03-15 12:48:00,24.0,6.0,True,11
SRV_155,Check-out,3009,Chile,Sur,BB_18,2026-03-15 10:35:00,2026-03-15 10:49:00,2026-03-15 11:19:00,2026-03-15 11:35:00,44.0,14.0,True,10
SRV_156,Check-out,3787,Piña,Sur,BB_24,2026-03-15 11:49:00,2026-03-15 11:56:00,2026-03-15 12:18:00,2026-03-15 12:49:00,29.0,7.0,True,11
SRV_157,Check-in,3801,Piña,Sur,BB_27,2026-03-15 16:53:00,2026-03-15 17:16:00,2026-03-15 17:30:00,,37.0,23.0,False,16
SRV_158,Check-in,3828,Piña,Sur,BB_17,2026-03-15 11:04:00,2026-03-15 11:23:00,2026-03-15 11:47:00,,43.0,19.0,False,11
SRV_159,Check-out,3566,Mango,Sur,BB_10,2026-03-15 10:49:00,2026-03-15 11:06:00,2026-03-15 11:17:00,2026-03-15 11:49:00,28.0,17.0,True,10
SRV_160,Check-in,1709,Luna,Norte,BB_24,2026-03-15 13:37:00,2026-03-15 14:01:00,2026-03-15 14:16:00,,39.0,24.0,False,13
